カードID,質問,回答,重要度
,確率分布に従う性質をもちますか？,0,1
,宇宙の進化や構造に関する理論的な概念ですか？,0,1
,エネルギーの保存や変換に関係していますか？,0,1
,相対性理論と関連していますか？,0,1
,不確定性原理と関係がありますか？,1,3
,物体や粒子の性質が観測者によって変わる概念と関係していますか？,0,1
,エネルギー準位の遷移に関与していますか？,0,1
,縮退していますか？,0,1
,物体や系がエネルギーの極小値をとることと関係しますか？,1,4
,宇宙論に関係がありますか？,0,1
,エネルギーの伝播において波や粒子の性質に影響を与えますか？,1,1
,同時に測定できない2つの性質に関連していますか？,0,1
,物体が他の物体に引かれる力の原因ですか？,0,1
,宇宙の初期状態や大爆発に関与していますか？,0,0
,エネルギーの放出や吸収において離散的な量を指しますか？,0,1
,光が物体に反射する際の法則に関係していますか？,0,0
,磁場内で電流が生じる現象に関与していますか？,0,0
,光の波長が変わる現象に関与していますか？,0,1
,光の散乱・吸収に関係しますか？,0,1
,人物ですか？,1,3
,ノーベル賞を受賞した人or研究ですか？,1,4
,啓蒙書を書いたことがある人物ですか？,1,4
,ダークマターと関係しますか？,0,1
,既に観測されていますか？,0,1
,光で直接観測できますか？,0,1
,経路積分と関係しますか？,1,5
,ダイヤグラムと関係しますか？,1,5
